Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 398
First seed: 290344638
Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 398
Seed label: white:basic-strategy-2026-04-30-1000-resume-fixed:explicit
First seed: 290344638
Endpoints: http://127.0.0.1:12347, http://127.0.0.1:12348, http://127.0.0.1:12349, http://127.0.0.1:12350, http://127.0.0.1:12351, http://127.0.0.1:12352
Replay mode: summary
Start retries: 1
Failed seed retries: 2
[1/398] seed=923087636 won=False ante=7 score=16200 money=96 runtime=202.36s
[2/398] seed=1040167610 won=False ante=5 score=13089 money=58 runtime=212.92s
[3/398] seed=1261713584 won=False ante=5 score=15519 money=51 runtime=448.37s
[4/398] seed=1608338745 won=False ante=6 score=26199 money=64 runtime=556.76s
[5/398] seed=1998893579 won=False ante=7 score=50325 money=78 runtime=722.53s
[6/398] seed=34722517 won=False ante=6 score=27892 money=90 runtime=951.80s
[7/398] seed=589493749 won=False ante=4 score=7487 money=38 runtime=708.63s
[8/398] seed=290344638 won=False ante=7 score=62181 money=83 runtime=1992.05s
[9/398] seed=1919918646 won=False ante=4 score=5471 money=27 runtime=450.65s
[10/398] seed=1439744546 won=False ante=6 score=21636 money=43 runtime=221.79s
[11/398] seed=1908793026 won=False ante=5 score=9828 money=8 runtime=370.18s
[12/398] seed=963761050 won=False ante=4 score=4500 money=1 runtime=1080.07s
[13/398] seed=634411008 won=False ante=6 score=19789 money=20 runtime=3751.34s
[14/398] seed=447621618 won=False ante=6 score=10552 money=118 runtime=1387.42s
[15/398] seed=441261776 won=False ante=7 score=116085 money=69 runtime=3481.01s
[16/398] seed=921637848 won=False ante=6 score=22596 money=37 runtime=640.61s
[17/398] seed=378808073 won=False ante=6 score=39664 money=0 runtime=304.11s
[18/398] seed=2015775318 won=True ante=8 score=104557 money=130 runtime=3583.17s
[19/398] seed=459548623 won=False ante=7 score=47180 money=73 runtime=3783.40s
[20/398] seed=875416972 won=False ante=4 score=6349 money=39 runtime=453.65s
[21/398] seed=1130543415 won=False ante=5 score=10147 money=27 runtime=919.97s
[22/398] seed=657983022 won=False ante=4 score=1413 money=8 runtime=369.63s
[23/398] seed=960266896 won=False ante=5 score=16956 money=41 runtime=537.12s
[24/398] seed=868848795 won=False ante=5 score=16115 money=33 runtime=1168.26s
[25/398] seed=421145147 won=False ante=4 score=7285 money=35 runtime=428.95s
[26/398] seed=13688308 won=False ante=2 score=320 money=2 runtime=300.30s
[27/398] seed=445171830 won=False ante=6 score=18227 money=21 runtime=1978.61s
[28/398] seed=1063232019 won=False ante=2 score=216 money=2 runtime=258.31s
[29/398] seed=1429150503 won=False ante=5 score=16206 money=25 runtime=1228.20s
[30/398] seed=1924459084 won=False ante=6 score=24709 money=56 runtime=1809.14s
[31/398] seed=783456082 won=False ante=2 score=584 money=17 runtime=151.28s
[32/398] seed=770993515 won=False ante=7 score=59342 money=88 runtime=2007.83s
[33/398] seed=1236033230 won=False ante=3 score=2136 money=5 runtime=196.48s
[34/398] seed=1731926261 won=False ante=6 score=33582 money=88 runtime=1772.74s
[35/398] seed=1326605481 won=False ante=4 score=6159 money=70 runtime=948.49s
[36/398] seed=753718968 won=False ante=5 score=10992 money=98 runtime=829.25s
[37/398] seed=1518021778 won=False ante=3 score=2268 money=3 runtime=327.89s
[38/398] seed=906937086 won=False ante=7 score=32935 money=84 runtime=415.16s
[39/398] seed=1823223639 won=False ante=4 score=6896 money=23 runtime=784.10s
[40/398] seed=210817270 won=False ante=6 score=6675 money=68 runtime=779.20s
[41/398] seed=540974109 won=False ante=5 score=5750 money=74 runtime=641.57s
[42/398] seed=133657983 won=False ante=5 score=8463 money=40 runtime=337.87s
[43/398] seed=1931511654 won=False ante=5 score=4889 money=40 runtime=1095.12s
[44/398] seed=1029591385 won=False ante=1 score=568 money=8 runtime=103.43s
[45/398] seed=446675529 won=False ante=5 score=12210 money=26 runtime=786.79s
[46/398] seed=1567728738 won=False ante=3 score=2458 money=3 runtime=286.84s
[47/398] seed=1654972606 won=False ante=6 score=32637 money=56 runtime=434.04s
[48/398] seed=1392528579 won=False ante=5 score=8992 money=67 runtime=424.40s
[49/398] seed=823980366 won=False ante=5 score=6552 money=47 runtime=403.63s
[50/398] seed=2005650742 won=False ante=7 score=37458 money=97 runtime=1178.29s
[51/398] seed=491218967 won=False ante=4 score=5703 money=28 runtime=568.46s
[52/398] seed=42677947 won=False ante=5 score=3330 money=40 runtime=1471.61s
[53/398] seed=1419466059 won=False ante=7 score=50343 money=94 runtime=2092.23s
[54/398] seed=2098218379 won=False ante=2 score=2360 money=10 runtime=134.06s
[55/398] seed=1978422753 won=False ante=6 score=26715 money=75 runtime=369.66s
[56/398] seed=1773251237 won=True ante=8 score=81534 money=72 runtime=695.19s
[57/398] seed=1202822993 won=False ante=5 score=12142 money=24 runtime=415.82s
[58/398] seed=370660179 won=False ante=6 score=18686 money=57 runtime=1059.76s
[59/398] seed=957745080 won=False ante=6 score=5568 money=49 runtime=1027.37s
[60/398] seed=519065742 won=False ante=2 score=885 money=33 runtime=95.59s
[61/398] seed=1205415648 won=False ante=6 score=19207 money=71 runtime=394.04s
[62/398] seed=1823020335 won=False ante=6 score=16135 money=77 runtime=1804.03s
[63/398] seed=133902389 won=False ante=6 score=26709 money=22 runtime=747.53s
[64/398] seed=859519194 won=False ante=2 score=748 money=5 runtime=152.37s
[65/398] seed=670714657 won=False ante=2 score=1143 money=23 runtime=307.63s
[66/398] seed=427687116 won=False ante=7 score=31561 money=71 runtime=1335.16s
[67/398] seed=312558039 won=False ante=7 score=42383 money=110 runtime=2029.74s
[68/398] seed=1541113741 won=False ante=5 score=5928 money=21 runtime=1373.66s
