Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 1000
First seed: 2132984486
Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 1000
Seed label: white:basic-strategy-2026-04-30-1000
First seed: 2132984486
Endpoints: http://127.0.0.1:12347, http://127.0.0.1:12348, http://127.0.0.1:12349, http://127.0.0.1:12350, http://127.0.0.1:12351, http://127.0.0.1:12352
Replay mode: summary
Start retries: 1
Failed seed retries: 2
[1/1000] seed=1722573520 won=False ante=5 score=15044 money=54 runtime=180.07s
[2/1000] seed=2132767809 won=False ante=5 score=8490 money=54 runtime=242.03s
[3/1000] seed=1481629126 won=False ante=7 score=66678 money=125 runtime=351.57s
[4/1000] seed=1177471692 won=False ante=1 score=284 money=4 runtime=33.67s
[5/1000] seed=1358050382 won=False ante=7 score=44781 money=71 runtime=1085.12s
[6/1000] seed=143567792 won=False ante=6 score=26371 money=79 runtime=228.45s
[7/1000] seed=2132984486 won=False ante=5 score=8347 money=33 runtime=1429.59s
[8/1000] seed=1062307830 won=False ante=4 score=1480 money=20 runtime=1110.28s
[9/1000] seed=1734147445 won=False ante=5 score=3266 money=91 runtime=1460.78s
[10/1000] seed=621610528 won=False ante=7 score=51618 money=88 runtime=1745.40s
[11/1000] seed=764603188 won=False ante=4 score=7222 money=1 runtime=440.93s
[12/1000] seed=1522815768 won=True ante=8 score=133077 money=107 runtime=1787.81s
[13/1000] seed=2106762186 won=False ante=4 score=4792 money=22 runtime=345.11s
[14/1000] seed=1551757656 won=False ante=6 score=19372 money=55 runtime=463.25s
[15/1000] seed=921611128 won=False ante=1 score=0 money=0 runtime=898.92s
[16/1000] seed=199754413 won=False ante=5 score=10582 money=35 runtime=577.93s
[17/1000] seed=592576228 won=False ante=7 score=70386 money=107 runtime=747.52s
[18/1000] seed=1114829481 won=False ante=3 score=6364 money=33 runtime=692.88s
[19/1000] seed=1113118548 won=False ante=6 score=38383 money=76 runtime=1153.69s
[20/1000] seed=853940450 won=False ante=7 score=38733 money=83 runtime=617.16s
[21/1000] seed=519744964 won=True ante=8 score=112140 money=138 runtime=781.23s
[22/1000] seed=1829019919 won=False ante=7 score=18648 money=135 runtime=252.97s
[23/1000] seed=425370494 won=False ante=5 score=27351 money=69 runtime=380.99s
[24/1000] seed=556131986 won=False ante=5 score=15920 money=42 runtime=505.28s
[25/1000] seed=661644460 won=False ante=6 score=28089 money=51 runtime=1185.87s
[26/1000] seed=1437060624 won=False ante=7 score=98124 money=161 runtime=1133.17s
[27/1000] seed=700692316 won=False ante=4 score=2760 money=8 runtime=281.96s
[28/1000] seed=1221240697 won=False ante=5 score=15092 money=37 runtime=279.99s
[29/1000] seed=290344638 won=False ante=0 score=0 money=0 runtime=210.57s death=error:BalatroBridgeError: Balatro bridge error: {'data': {'name': 'BAD_REQUEST'}, 'code': -32001, 'message': 'Cannot purchase joker card, jo
[30/1000] seed=1304973826 won=False ante=6 score=23739 money=67 runtime=840.87s
[31/1000] seed=1290828642 won=False ante=5 score=7951 money=17 runtime=1285.32s
[32/1000] seed=2000731007 won=False ante=6 score=27770 money=36 runtime=751.07s
[33/1000] seed=1634823255 won=False ante=4 score=3830 money=31 runtime=486.27s
[34/1000] seed=374032877 won=False ante=4 score=2356 money=12 runtime=971.16s
[35/1000] seed=849169739 won=False ante=2 score=968 money=4 runtime=154.19s
[36/1000] seed=1625296097 won=True ante=8 score=73347 money=90 runtime=832.16s
[37/1000] seed=1443211309 won=False ante=4 score=9915 money=24 runtime=149.74s
[38/1000] seed=1847889806 won=False ante=3 score=2208 money=6 runtime=317.93s
[39/1000] seed=2119498160 won=False ante=1 score=488 money=6 runtime=110.53s
[40/1000] seed=341095956 won=False ante=4 score=9920 money=25 runtime=611.07s
[41/1000] seed=1069591045 won=False ante=3 score=775 money=42 runtime=246.84s
[42/1000] seed=1687178883 won=False ante=7 score=53996 money=38 runtime=579.14s
[43/1000] seed=980795810 won=False ante=6 score=39990 money=88 runtime=277.59s
[44/1000] seed=654748727 won=False ante=5 score=15896 money=62 runtime=304.54s
[45/1000] seed=929687894 won=False ante=7 score=45957 money=4 runtime=1830.47s
[46/1000] seed=1118972829 won=False ante=4 score=2718 money=35 runtime=260.57s
[47/1000] seed=1900994537 won=False ante=5 score=16973 money=48 runtime=1321.07s
[48/1000] seed=1093941441 won=False ante=2 score=654 money=4 runtime=112.36s
[49/1000] seed=1846533486 won=False ante=2 score=670 money=15 runtime=137.05s
[50/1000] seed=361997719 won=False ante=5 score=21279 money=7 runtime=1287.98s
[51/1000] seed=1209765444 won=False ante=2 score=396 money=15 runtime=82.85s
[52/1000] seed=1510255139 won=False ante=7 score=48775 money=80 runtime=1380.46s
[53/1000] seed=1673947902 won=False ante=3 score=5464 money=3 runtime=207.92s
[54/1000] seed=1227824131 won=False ante=4 score=8448 money=34 runtime=126.57s
[55/1000] seed=1924281996 won=False ante=6 score=16540 money=61 runtime=385.72s
[56/1000] seed=1070656963 won=False ante=6 score=24690 money=97 runtime=1264.80s
[57/1000] seed=1589435350 won=False ante=1 score=0 money=0 runtime=1073.03s
[58/1000] seed=1309184972 won=False ante=5 score=19982 money=49 runtime=535.82s
[59/1000] seed=1422859710 won=False ante=7 score=36292 money=53 runtime=283.24s
[60/1000] seed=778848195 won=False ante=6 score=27168 money=97 runtime=1107.67s
[61/1000] seed=669870360 won=False ante=6 score=26820 money=91 runtime=547.02s
[62/1000] seed=1856482773 won=False ante=5 score=19967 money=17 runtime=1201.37s
[63/1000] seed=923087636 won=False ante=0 score=0 money=0 runtime=165.01s death=error:BalatroBridgeError: Balatro bridge error: {'data': {'name': 'BAD_REQUEST'}, 'code': -32001, 'message': 'Cannot purchase joker card, jo
